student_name,matriculation_number,major_name,major_number,degree_type,lecture_name,lecture_number,faculty_name,personnel_number,role,department_head,department_name,dep_number
Student_1,12521000,Applied Geosciences,501,BSc,Introduction to Machine Learning,102,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_1,12521000,Applied Geosciences,501,BSc,Introduction to Machine Learning,105,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_1,12521000,Applied Geosciences,501,BSc,Advanced Machine and Deep Learning,103,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_1,12521000,Applied Geosciences,501,BSc,Introduction to Data Modeling,104,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_1,12521000,Applied Geosciences,501,BSc,Physics 1,301,Fred Nurk,3001,professor,True,Physics,3
Student_2,12521001,Energy Engineering,502,BSc,Advanced Machine and Deep Learning,103,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_2,12521001,Energy Engineering,502,BSc,Mathematics 1,202,John Doe,2001,professor,True,Mathematics and Statistics,2
Student_2,12521001,Energy Engineering,502,BSc,Physics 2,304,Fred Nurk,3001,professor,True,Physics,3
Student_2,12521001,Energy Engineering,502,BSc,Physics 1,301,Fred Nurk,3001,professor,True,Physics,3
Student_2,12521001,Energy Engineering,502,BSc,Advanced Machine and Deep Learning,106,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_3,12521002,Geoenergy Engineering,503,BSc,Introduction to Data Modeling,101,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_3,12521002,Geoenergy Engineering,503,BSc,Advanced Machine and Deep Learning,103,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_3,12521002,Geoenergy Engineering,503,BSc,Introduction to Data Modeling,104,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_3,12521002,Geoenergy Engineering,503,BSc,Mathematics 1,202,John Doe,2001,professor,True,Mathematics and Statistics,2
Student_3,12521002,Geoenergy Engineering,503,BSc,Chemistry 1,403,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_4,12521003,Materials Science and Technology,504,BSc,Introduction to Data Modeling,104,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_4,12521003,Materials Science and Technology,504,BSc,Physics 1,303,Fred Nurk,3001,professor,True,Physics,3
Student_4,12521003,Materials Science and Technology,504,BSc,Chemistry 2,402,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_4,12521003,Materials Science and Technology,504,BSc,Chemistry 1,401,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_4,12521003,Materials Science and Technology,504,BSc,Introduction to Machine Learning,105,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_5,12521004,Mechanical Engineering,505,BSc,Advanced Machine and Deep Learning,106,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_5,12521004,Mechanical Engineering,505,BSc,Advanced Machine and Deep Learning,103,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_5,12521004,Mechanical Engineering,505,BSc,Chemistry 2,404,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_5,12521004,Mechanical Engineering,505,BSc,Physics 1,303,Fred Nurk,3001,professor,True,Physics,3
Student_5,12521004,Mechanical Engineering,505,BSc,Mathematics 1,201,John Doe,2001,professor,True,Mathematics and Statistics,2
Student_6,12521005,Circular Engineering,506,BSc,Chemistry 2,402,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_6,12521005,Circular Engineering,506,BSc,Physics 1,303,Fred Nurk,3001,professor,True,Physics,3
Student_6,12521005,Circular Engineering,506,BSc,Chemistry 1,401,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_6,12521005,Circular Engineering,506,BSc,Chemistry 2,404,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_6,12521005,Circular Engineering,506,BSc,Introduction to Machine Learning,105,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_7,12521006,Industrial Data Science,507,MSc,Chemistry 2,404,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_7,12521006,Industrial Data Science,507,MSc,Advanced Machine and Deep Learning,103,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_7,12521006,Industrial Data Science,507,MSc,Physics 2,302,Fred Nurk,3001,professor,True,Physics,3
Student_7,12521006,Industrial Data Science,507,MSc,Advanced Machine and Deep Learning,106,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_7,12521006,Industrial Data Science,507,MSc,Chemistry 1,403,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_8,12521007,Industrial Logistics,508,BSc,Physics 1,303,Fred Nurk,3001,professor,True,Physics,3
Student_8,12521007,Industrial Logistics,508,BSc,Physics 1,301,Fred Nurk,3001,professor,True,Physics,3
Student_8,12521007,Industrial Logistics,508,BSc,Introduction to Data Modeling,101,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_8,12521007,Industrial Logistics,508,BSc,Chemistry 1,401,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_8,12521007,Industrial Logistics,508,BSc,Advanced Machine and Deep Learning,106,Jane Doe,1002,professor,False,Cyber Physical Systems,1
Student_9,12521008,Metallurgy and Metal Recycling,509,BSc,Chemistry 1,401,Joe Smith,4001,professor,True,Analytical Chemistry,4
Student_9,12521008,Metallurgy and Metal Recycling,509,BSc,Physics 1,301,Fred Nurk,3001,professor,True,Physics,3
Student_9,12521008,Metallurgy and Metal Recycling,509,BSc,Introduction to Machine Learning,102,Elmar Rueckert,1001,professor,True,Cyber Physical Systems,1
Student_9,12521008,Metallurgy and Metal Recycling,509,BSc,Physics 2,302,Fred Nurk,3001,professor,True,Physics,3
